,lat,lon,Population,Altitude,Mean_temp
Gifu_,35.7166667,137.2666667,North,656,11.2
MG001,32.720278,133.0175,South,2,17.8
MG002,42.571944,143.503056,South,NA,NA
MG003,35.398333,139.516389,South,44,15.2
MG004,31.436111,130.313611,South,3,17.9
MG005,35.302222,139.266944,North,22,15.4
MG007,39.315556,141.337778,North,416,8.7
MG008,35.018333,135.5575,South,97,15.2
MG009,39.926667,139.743611,North,332,9.5
MG010,39.324444,141.484722,North,368,9
MG011,39.327222,140.808889,North,499,8.4
MG012,35.256944,139.597222,North,86,15.5
MG013,35.21,139.605556,North,-1,15.9
MG014,35.21,139.605556,North,-1,15.9
MG016,35.135278,139.676389,North,5,15.8
MG018,35.133056,138.958889,North,185,14.9
MG019,35.133056,138.958889,North,185,14.9
MG020,24.720055,125.467329,South,4,23.8
MG021,41.460556,140.093333,North,308,8.5
MG022,31.191667,130.5625,South,46,18.3
MG023,40.823611,140.761944,North,4,10.1
MG024,24.7193,125.469222,South,4,23.8
MG025,30.328889,130.65,South,62,19
MG026,35.696389,139.758056,North,17,15.6
MG027,26.401944,127.736111,South,77,22.2
MG030,42.8475,143.172778,North,85,6.4
MG032,42.546389,143.476944,North,18,5.9
MG033,42.546389,143.476944,North,NA,NA
MG034,42.614167,143.548333,North,29,5.7
MG035,42.445556,141.160556,North,59,7.8
MG036,42.409444,140.305833,North,4,8.2
MG038,42.108056,140.571667,North,22,8.5
MG039,40.929886,141.018889,North,718,6.6
MG040,40.586944,141.249167,North,27,10.1
MG041,39.755556,140.161667,North,49,10.9
MG042,39.745278,140.707778,North,296,9.4
MG044,38.386667,141.388333,North,8,11.9
MG045,37.588611,139.915,North,179,11.9
MG046,37.5875,139.914167,North,179,11.9
MG049,35.636667,134.618889,South,4,14.5
MG050,35.501667,133.731667,South,4,14.5
MG051,35.503278,133.854167,North,2,14.6
MG052,35.387167,132.788889,South,5,14.7
MG053,34.650833,131.826389,South,13,15
MG056,31.580833,131.416111,South,1,17.8
MG057,31.7002,131.4595,South,0,17.7
MG058,31.699722,131.482222,South,NA,NA
MG059,31.699722,131.482222,South,NA,NA
MG060,31.253889,130.293333,South,-3,18.1
MG061,31.374444,130.988333,South,6,17.8
MG063,31.739722,131.470833,South,2,17.7
MG064,31.829444,131.415278,South,NA,NA
MG065,31.829444,131.415278,South,30,17.4
MG066,32.131667,131.409444,South,14,17.2
MG067,30.773611,131.008611,South,133,18.7
MG068,30.234167,130.556111,South,61,19.3
MG069,34.587222,135.5075,South,15,15.3
MG070,33.874167,135.228056,South,85,16
MG071,32.945833,131.098611,South,510,13.1
MG072,32.851667,131.053056,North,693,12.2
MG073,33.037222,131.266944,South,687,12.1
MG074,33.394722,132.535278,South,259,14.9
MG075,33.338611,132.543889,South,260,14.9
MG076,34.263333,131.591111,North,439,12.6
MG077,35.119167,138.6625,North,0,16
MG078,35.895833,136.723056,North,909,9
MG079,36.220278,136.141389,North,NA,NA
MG080,36.649444,137.190556,North,20,13.9
MG081,37.035278,137.85,North,7,13.7
MG082,37.760556,139.208611,North,9,13.1
MG083,36.543889,138.363333,North,1557,5
MG084,37.6025,139.650278,North,158,12.1
MG085,37.153889,140.413611,North,293,11.7
MG086,38.760833,140.759722,North,412,9.2
MG088,36.651944,139.977222,North,150,13.1
MG089,39.763056,141.140833,North,186,9.9
MG090,43.004444,141.4325,North,57,7.7
MG091,41.895556,140.639167,North,41,8.7
MG092,44.145,143.936111,North,0,6.4
MG093,42.033611,140.670278,North,383,6.8
MG094,42.418611,140.903056,North,4,8.3
MG095,42.475278,141.220278,North,83,7.6
MG096,42.602778,141.502778,North,4,7.3
MG097,42.449722,140.3314,North,0,8.2
MG098,41.920833,140.728056,North,704,5.2
MG099,41.756944,140.723,North,6,9.1
MG100,42.221,140.388,North,5,8.3
MG101,42.003056,140.650833,North,142,8
MG102,45.296111,141.031667,North,146,5.6
MG103,42.993611,143.197778,North,73,6.5
MG104,32.083889,131.412222,South,9,17.3
MG105,32.118056,131.417222,South,11,17.2
MG106,32.094722,131.379444,South,8,17.2
MG107,34.817778,135.522222,South,64,15.7
MG109,39.705833,141.114167,North,127,10.2
MG110,32.827778,131.133611,South,592,12.8
MG111,32.86,131.000833,South,391,14
MG112,32.912016,131.197901,South,697,12.1
MG113,32.863056,131.155,North,680,12.3
MG115,35.325076,136.637038,South,NA,NA
MG116,35.9,136.653333,North,424,12
MG117,36.061389,136.500556,North,130,13.4
MG118,35.974722,136.129722,North,15,14.3
MG119,37.376922,138.809037,North,NA,NA
MG120,36.987778,138.577222,North,312,12
MG121,36.851667,138.366111,North,317,12.3
MG123,36.05209,138.270828,North,813,10.7
MG124,35.995556,138.159444,North,177,12
MG125,37.514167,139.920833,North,200,11.9
MG126,37.125833,140.210833,North,357,11.2
MG127,38.531389,141.222222,North,5,11.6
MG128,36.783333,140.128056,North,113,13.1
MG129,39.545278,140.369444,North,19,11.1
MG130,35.418056,136.406389,South,1341,6.6
MG131,34.58,135.62,South,NA,NA
MG132,28.183056,129.372778,South,107,21.2
