SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
SC_1	1	Input_Culture	Input_Culture_SC	Input	SC	one	four
SC_2	2	Input_Culture	Input_Culture_SC	Input	SC	one	four
SC_3	3	Input_Culture	Input_Culture_SC	Input	SC	one	four
MG1_1	4	MG1_RZ	MG1_RZ_SC	MG1	SC	one	zero
MG2_1	5	MG2_RZ	MG2_RZ_SC	MG2	SC	one	two
MG3_1	6	MG3_RZ	MG3_RZ_SC	MG3	SC	one	two
MG4_1	7	MG4_RZ	MG4_RZ_SC	MG4	SC	one	zero
MG5_1	8	MG5_RZ	MG5_RZ_SC	MG5	SC	one	zero
MG6_1	9	MG6_RZ	MG6_RZ_SC	MG6	SC	one	zero
MG7_1	10	MG7_RZ	MG7_RZ_SC	MG7	SC	one	zero
MG8_1	11	MG8_RZ	MG8_RZ_SC	MG8	SC	one	zero
MG9_1	12	MG9_RZ	MG9_RZ_SC	MG9	SC	one	zero
MG10_1	13	MG10_RZ	MG10_RZ_SC	MG10	SC	one	zero
MG11_1	14	MG11_RZ	MG11_RZ_SC	MG11	SC	one	two
MG12_1	15	MG12_RZ	MG12_RZ_SC	MG12	SC	one	zero
MG13_1	16	MG13_RZ	MG13_RZ_SC	MG13	SC	one	two
MG14_1	17	MG14_RZ	MG14_RZ_SC	MG14	SC	one	two
MG15_1	18	MG15_RZ	MG15_RZ_SC	MG15	SC	one	two
MG16_1	19	MG16_RZ	MG16_RZ_SC	MG16	SC	one	two
MG18_1	20	MG18_RZ	MG18_RZ_SC	MG18	SC	one	zero
MG19_1	21	MG19_RZ	MG19_RZ_SC	MG19	SC	one	two
MG20_1	22	MG20_RZ	MG20_RZ_SC	MG20	SC	one	two
MG21_1	23	MG21_RZ	MG21_RZ_SC	MG21	SC	one	two
MG22_1	24	MG22_RZ	MG22_RZ_SC	MG22	SC	one	two
MG23_1	25	MG23_RZ	MG23_RZ_SC	MG23	SC	one	two
MG24_1	26	MG24_RZ	MG24_RZ_SC	MG24	SC	one	two
MG25_1	27	MG25_RZ	MG25_RZ_SC	MG25	SC	one	two
MG26_1	28	MG26_RZ	MG26_RZ_SC	MG26	SC	one	two
MG27_1	29	MG27_RZ	MG27_RZ_SC	MG27	SC	one	two
MG28_1	30	MG28_RZ	MG28_RZ_SC	MG28	SC	one	two
MG29_1	31	MG29_RZ	MG29_RZ_SC	MG29	SC	one	two
MG30_1	32	MG30_RZ	MG30_RZ_SC	MG30	SC	one	two
MG32_1	33	MG32_RZ	MG32_RZ_SC	MG32	SC	one	two
MG33_1	34	MG33_RZ	MG33_RZ_SC	MG33	SC	one	two
MG34_1	35	MG34_RZ	MG34_RZ_SC	MG34	SC	one	zero
MG35_1	36	MG35_RZ	MG35_RZ_SC	MG35	SC	one	two
MG36_1	37	MG36_RZ	MG36_RZ_SC	MG36	SC	one	two
MG38_1	38	MG38_RZ	MG38_RZ_SC	MG38	SC	one	two
MG39_1	39	MG39_RZ	MG39_RZ_SC	MG39	SC	one	zero
MG40_1	40	MG40_RZ	MG40_RZ_SC	MG40	SC	one	two
MG41_1	41	MG41_RZ	MG41_RZ_SC	MG41	SC	one	two
MG42_1	42	MG42_RZ	MG42_RZ_SC	MG42	SC	one	two
MG44_1	43	MG44_RZ	MG44_RZ_SC	MG44	SC	one	two
MG45_1	44	MG45_RZ	MG45_RZ_SC	MG45	SC	one	two
MG46_1	45	MG46_RZ	MG46_RZ_SC	MG46	SC	one	two
MG48_1	46	MG48_RZ	MG48_RZ_SC	MG48	SC	one	two
MG49_1	47	MG49_RZ	MG49_RZ_SC	MG49	SC	one	two
MG50_1	48	MG50_RZ	MG50_RZ_SC	MG50	SC	one	zero
MG51_1	49	MG51_RZ	MG51_RZ_SC	MG51	SC	one	two
MG52_1	50	MG52_RZ	MG52_RZ_SC	MG52	SC	one	one
MG53_1	51	MG53_RZ	MG53_RZ_SC	MG53	SC	one	one
MG55_1	52	MG55_RZ	MG55_RZ_SC	MG55	SC	one	two
MG56_1	53	MG56_RZ	MG56_RZ_SC	MG56	SC	one	two
MG57_1	54	MG57_RZ	MG57_RZ_SC	MG57	SC	one	two
MG58_1	55	MG58_RZ	MG58_RZ_SC	MG58	SC	one	two
MG59_1	56	MG59_RZ	MG59_RZ_SC	MG59	SC	one	two
MG60_1	57	MG60_RZ	MG60_RZ_SC	MG60	SC	one	one
MG61_1	58	MG61_RZ	MG61_RZ_SC	MG61	SC	one	one
MG62_1	59	MG62_RZ	MG62_RZ_SC	MG62	SC	one	zero
MG63_1	60	MG63_RZ	MG63_RZ_SC	MG63	SC	one	zero
MG64_1	61	MG64_RZ	MG64_RZ_SC	MG64	SC	one	one
MG65_1	62	MG65_RZ	MG65_RZ_SC	MG65	SC	one	one
MG66_1	63	MG66_RZ	MG66_RZ_SC	MG66	SC	one	one
MG67_1	64	MG67_RZ	MG67_RZ_SC	MG67	SC	one	one
MG68_1	65	MG68_RZ	MG68_RZ_SC	MG68	SC	one	one
MG69_1	66	MG69_RZ	MG69_RZ_SC	MG69	SC	one	one
MG70_1	67	MG70_RZ	MG70_RZ_SC	MG70	SC	one	zero
MG71_1	68	MG71_RZ	MG71_RZ_SC	MG71	SC	one	one
MG72_1	69	MG72_RZ	MG72_RZ_SC	MG72	SC	one	one
MG73_1	70	MG73_RZ	MG73_RZ_SC	MG73	SC	one	one
MG74_1	71	MG74_RZ	MG74_RZ_SC	MG74	SC	one	one
MG75_1	72	MG75_RZ	MG75_RZ_SC	MG75	SC	one	one
