SampleID;Sample number;Genotype_compartment;Genotype;Genotype2;Bio_rep;Compartment
SC1;1;Input_SC;Input;Input;1;SC
SC2;2;Input_SC;Input;Input;2;SC
SC3;3;Input_SC;Input;Input;3;SC
Gifu_RZ_1;4;Gifu_RZ;Gifu;Gifu;1;RZ
Gifu_RZ_2;5;Gifu_RZ;Gifu;Gifu;2;RZ
Gifu_RZ_3;6;Gifu_RZ;Gifu;Gifu;3;RZ
Gifu_RZ_4;7;Gifu_RZ;Gifu;Gifu;4;RZ
Gifu_RZ_5;8;Gifu_RZ;Gifu;Gifu;5;RZ
Gifu_RZ_6;9;Gifu_RZ;Gifu;Gifu;6;RZ
Gifu_RZ_7;10;Gifu_RZ;Gifu;Gifu;7;RZ
Gifu_RZ_8;11;Gifu_RZ;Gifu;Gifu;8;RZ
Gifu_RZ_9;12;Gifu_RZ;Gifu;Gifu;9;RZ
Gifu_RZ_10;13;Gifu_RZ;Gifu;Gifu;10;RZ
Gifu_RZ_11;14;Gifu_RZ;Gifu;Gifu;11;RZ
Gifu_RZ_12;15;Gifu_RZ;Gifu;Gifu;12;RZ
Gifu_ES_1;16;Gifu_ES;Gifu;Gifu;1;ES
Gifu_ES_2;17;Gifu_ES;Gifu;Gifu;2;ES
Gifu_ES_3;18;Gifu_ES;Gifu;Gifu;3;ES
Gifu_ES_4;19;Gifu_ES;Gifu;Gifu;4;ES
Gifu_ES_5;20;Gifu_ES;Gifu;Gifu;5;ES
Gifu_ES_6;21;Gifu_ES;Gifu;Gifu;6;ES
Gifu_ES_7;22;Gifu_ES;Gifu;Gifu;7;ES
Gifu_ES_8;23;Gifu_ES;Gifu;Gifu;8;ES
Gifu_ES_9;24;Gifu_ES;Gifu;Gifu;9;ES
Gifu_ES_10;25;Gifu_ES;Gifu;Gifu;10;ES
Gifu_ES_11;26;Gifu_ES;Gifu;Gifu;11;ES
Gifu_ES_12;27;Gifu_ES;Gifu;Gifu;12;ES
Gifu_Nod_1;28;Gifu_Nod;Gifu;Gifu;1;Nod
Gifu_Nod_2;29;Gifu_Nod;Gifu;Gifu;2;Nod
Gifu_Nod_3;30;Gifu_Nod;Gifu;Gifu;3;Nod
Gifu_Nod_4;31;Gifu_Nod;Gifu;Gifu;4;Nod
Gifu_Nod_5;32;Gifu_Nod;Gifu;Gifu;5;Nod
Gifu_Nod_6;33;Gifu_Nod;Gifu;Gifu;6;Nod
Gifu_Nod_7;34;Gifu_Nod;Gifu;Gifu;7;Nod
Gifu_Nod_8;35;Gifu_Nod;Gifu;Gifu;8;Nod
Gifu_Nod_9;36;Gifu_Nod;Gifu;Gifu;9;Nod
Gifu_Nod_10;37;Gifu_Nod;Gifu;Gifu;10;Nod
Gifu_Nod_11;38;Gifu_Nod;Gifu;Gifu;11;Nod
Gifu_Nod_12;39;Gifu_Nod;Gifu;Gifu;12;Nod
roomie1_1_RZ_1;40;roomie1_1_RZ;roomie1_1;roomie1;1;RZ
roomie1_1_RZ_2;41;roomie1_1_RZ;roomie1_1;roomie1;2;RZ
roomie1_1_RZ_3;42;roomie1_1_RZ;roomie1_1;roomie1;3;RZ
roomie1_1_RZ_4;43;roomie1_1_RZ;roomie1_1;roomie1;4;RZ
roomie1_1_RZ_5;44;roomie1_1_RZ;roomie1_1;roomie1;5;RZ
roomie1_1_RZ_6;45;roomie1_1_RZ;roomie1_1;roomie1;6;RZ
roomie1_1_ES_1;46;roomie1_1_ES;roomie1_1;roomie1;1;ES
roomie1_1_ES_2;47;roomie1_1_ES;roomie1_1;roomie1;2;ES
roomie1_1_ES_3;48;roomie1_1_ES;roomie1_1;roomie1;3;ES
roomie1_1_ES_4;49;roomie1_1_ES;roomie1_1;roomie1;4;ES
roomie1_1_ES_5;50;roomie1_1_ES;roomie1_1;roomie1;5;ES
roomie1_1_ES_6;51;roomie1_1_ES;roomie1_1;roomie1;6;ES
roomie1_1_Nod_1;52;roomie1_1_Nod;roomie1_1;roomie1;1;Nod
roomie1_1_Nod_2;53;roomie1_1_Nod;roomie1_1;roomie1;2;Nod
roomie1_1_Nod_3;54;roomie1_1_Nod;roomie1_1;roomie1;3;Nod
roomie1_1_Nod_4;55;roomie1_1_Nod;roomie1_1;roomie1;4;Nod
roomie1_1_Nod_5;56;roomie1_1_Nod;roomie1_1;roomie1;5;Nod
roomie1_1_Nod_6;57;roomie1_1_Nod;roomie1_1;roomie1;6;Nod
roomie1_2_RZ_1;58;roomie1_2_RZ;roomie1_2;roomie1;1;RZ
roomie1_2_RZ_2;59;roomie1_2_RZ;roomie1_2;roomie1;2;RZ
roomie1_2_RZ_3;60;roomie1_2_RZ;roomie1_2;roomie1;3;RZ
roomie1_2_RZ_4;61;roomie1_2_RZ;roomie1_2;roomie1;4;RZ
roomie1_2_RZ_5;62;roomie1_2_RZ;roomie1_2;roomie1;5;RZ
roomie1_2_RZ_6;63;roomie1_2_RZ;roomie1_2;roomie1;6;RZ
roomie1_2_ES_1;64;roomie1_2_ES;roomie1_2;roomie1;1;ES
roomie1_2_ES_2;65;roomie1_2_ES;roomie1_2;roomie1;2;ES
roomie1_2_ES_3;66;roomie1_2_ES;roomie1_2;roomie1;3;ES
roomie1_2_ES_4;67;roomie1_2_ES;roomie1_2;roomie1;4;ES
roomie1_2_ES_5;68;roomie1_2_ES;roomie1_2;roomie1;5;ES
roomie1_2_ES_6;69;roomie1_2_ES;roomie1_2;roomie1;6;ES
roomie1_2_Nod_1;70;roomie1_2_Nod;roomie1_2;roomie1;1;Nod
roomie1_2_Nod_2;71;roomie1_2_Nod;roomie1_2;roomie1;2;Nod
roomie1_2_Nod_3;72;roomie1_2_Nod;roomie1_2;roomie1;3;Nod
roomie1_2_Nod_4;73;roomie1_2_Nod;roomie1_2;roomie1;4;Nod
roomie1_2_Nod_5;74;roomie1_2_Nod;roomie1_2;roomie1;5;Nod
roomie1_2_Nod_6;75;roomie1_2_Nod;roomie1_2;roomie1;6;Nod
CFI1_RZ_1;76;CFI1_RZ;CFI1;CFI;1;RZ
CFI1_RZ_2;77;CFI1_RZ;CFI1;CFI;2;RZ
CFI1_RZ_3;78;CFI1_RZ;CFI1;CFI;3;RZ
CFI1_RZ_4;79;CFI1_RZ;CFI1;CFI;4;RZ
CFI1_RZ_5;80;CFI1_RZ;CFI1;CFI;5;RZ
CFI1_RZ_6;81;CFI1_RZ;CFI1;CFI;6;RZ
CFI1_ES_1;82;CFI1_ES;CFI1;CFI;1;ES
CFI1_ES_2;83;CFI1_ES;CFI1;CFI;2;ES
CFI1_ES_3;84;CFI1_ES;CFI1;CFI;3;ES
CFI1_ES_4;85;CFI1_ES;CFI1;CFI;4;ES
CFI1_ES_5;86;CFI1_ES;CFI1;CFI;5;ES
CFI1_ES_6;87;CFI1_ES;CFI1;CFI;6;ES
CFI1_Nod_1;88;CFI1_Nod;CFI1;CFI;1;Nod
CFI1_Nod_2;89;CFI1_Nod;CFI1;CFI;2;Nod
CFI1_Nod_3;90;CFI1_Nod;CFI1;CFI;3;Nod
CFI1_Nod_4;91;CFI1_Nod;CFI1;CFI;4;Nod
CFI1_Nod_5;92;CFI1_Nod;CFI1;CFI;5;Nod
CFI1_Nod_6;93;CFI1_Nod;CFI1;CFI;6;Nod
CFI2_RZ_1;94;CFI2_RZ;CFI2;CFI;1;RZ
CFI2_RZ_2;95;CFI2_RZ;CFI2;CFI;2;RZ
CFI2_RZ_3;96;CFI2_RZ;CFI2;CFI;3;RZ
CFI2_RZ_4;97;CFI2_RZ;CFI2;CFI;4;RZ
CFI2_RZ_5;98;CFI2_RZ;CFI2;CFI;5;RZ
CFI2_RZ_6;99;CFI2_RZ;CFI2;CFI;6;RZ
CFI2_ES_1;100;CFI2_ES;CFI2;CFI;1;ES
CFI2_ES_2;101;CFI2_ES;CFI2;CFI;2;ES
CFI2_ES_3;102;CFI2_ES;CFI2;CFI;3;ES
CFI2_ES_4;103;CFI2_ES;CFI2;CFI;4;ES
CFI2_ES_5;104;CFI2_ES;CFI2;CFI;5;ES
CFI2_ES_6;105;CFI2_ES;CFI2;CFI;6;ES
CFI2_Nod_1;106;CFI2_Nod;CFI2;CFI;1;Nod
CFI2_Nod_2;107;CFI2_Nod;CFI2;CFI;2;Nod
CFI2_Nod_3;108;CFI2_Nod;CFI2;CFI;3;Nod
CFI2_Nod_4;109;CFI2_Nod;CFI2;CFI;4;Nod
CFI2_Nod_5;110;CFI2_Nod;CFI2;CFI;5;Nod
CFI2_Nod_6;111;CFI2_Nod;CFI2;CFI;6;Nod
AMTF2_RZ_1;112;AMTF2_RZ;AMTF2;AMTF;1;RZ
AMTF2_RZ_2;113;AMTF2_RZ;AMTF2;AMTF;2;RZ
AMTF2_RZ_3;114;AMTF2_RZ;AMTF2;AMTF;3;RZ
AMTF2_RZ_4;115;AMTF2_RZ;AMTF2;AMTF;4;RZ
AMTF2_RZ_5;116;AMTF2_RZ;AMTF2;AMTF;5;RZ
AMTF2_RZ_6;117;AMTF2_RZ;AMTF2;AMTF;6;RZ
AMTF2_ES_1;118;AMTF2_ES;AMTF2;AMTF;1;ES
AMTF2_ES_2;119;AMTF2_ES;AMTF2;AMTF;2;ES
AMTF2_ES_3;120;AMTF2_ES;AMTF2;AMTF;3;ES
AMTF2_ES_4;121;AMTF2_ES;AMTF2;AMTF;4;ES
AMTF2_ES_5;122;AMTF2_ES;AMTF2;AMTF;5;ES
AMTF2_ES_6;123;AMTF2_ES;AMTF2;AMTF;6;ES
AMTF2_Nod_1;124;AMTF2_Nod;AMTF2;AMTF;1;Nod
AMTF2_Nod_2;125;AMTF2_Nod;AMTF2;AMTF;2;Nod
AMTF2_Nod_3;126;AMTF2_Nod;AMTF2;AMTF;3;Nod
AMTF2_Nod_4;127;AMTF2_Nod;AMTF2;AMTF;4;Nod
AMTF2_Nod_5;128;AMTF2_Nod;AMTF2;AMTF;5;Nod
AMTF2_Nod_6;129;AMTF2_Nod;AMTF2;AMTF;6;Nod
