Sample_ID;Genotype;Rep;Compartment;State;State2
En-25;UBS02;1;ES;Ref_Alt;Alt
En-26;UBS02;2;ES;Ref_Alt;Alt
En-27;UBS02;3;ES;Ref_Alt;Alt
En-28;UBS02;4;ES;Ref_Alt;Alt
Rh-29;UBS02;1;RZ;Ref_Alt;Alt
Rh-30;UBS02;2;RZ;Ref_Alt;Alt
Rh-31;UBS02;3;RZ;Ref_Alt;Alt
Rh-32;UBS02;4;RZ;Ref_Alt;Alt
No-33;UBS02;1;Nod;Ref_Alt;Alt
No-34;UBS02;2;Nod;Ref_Alt;Alt
No-35;UBS02;3;Nod;Ref_Alt;Alt
No-36;UBS02;4;Nod;Ref_Alt;Alt
En-37;UCS04;1;ES;Ref_Alt;Alt
En-38;UCS04;2;ES;Ref_Alt;Alt
En-39;UCS04;3;ES;Ref_Alt;Alt
En-40;UCS04;4;ES;Ref_Alt;Alt
Rh-41;UCS04;1;RZ;Ref_Alt;Alt
Rh-42;UCS04;2;RZ;Ref_Alt;Alt
Rh-43;UCS04;3;RZ;Ref_Alt;Alt
Rh-44;UCS04;4;RZ;Ref_Alt;Alt
No-45;UCS04;1;Nod;Ref_Alt;Alt
No-46;UCS04;2;Nod;Ref_Alt;Alt
No-47;UCS04;3;Nod;Ref_Alt;Alt
No-48;UCS04;4;Nod;Ref_Alt;Alt
En-49;UDS03;1;ES;Ref_Alt;Alt
En-50;UDS03;2;ES;Ref_Alt;Alt
En-51;UDS03;3;ES;Ref_Alt;Alt
En-52;UDS03;4;ES;Ref_Alt;Alt
Rh-53;UDS03;1;RZ;Ref_Alt;Alt
Rh-54;UDS03;2;RZ;Ref_Alt;Alt
Rh-55;UDS03;3;RZ;Ref_Alt;Alt
Rh-56;UDS03;4;RZ;Ref_Alt;Alt
No-57;UDS03;1;Nod;Ref_Alt;Alt
No-58;UDS03;2;Nod;Ref_Alt;Alt
No-59;UDS03;3;Nod;Ref_Alt;Alt
No-60;UDS03;4;Nod;Ref_Alt;Alt
En-61;UAS01;1;ES;Alt_Ref;Alt
En-62;UAS01;2;ES;Alt_Ref;Alt
En-63;UAS01;3;ES;Alt_Ref;Alt
En-64;UAS01;4;ES;Alt_Ref;Alt
Rh-65;UAS01;1;RZ;Alt_Ref;Alt
Rh-66;UAS01;2;RZ;Alt_Ref;Alt
Rh-67;UAS01;3;RZ;Alt_Ref;Alt
Rh-68;UAS01;4;RZ;Alt_Ref;Alt
No-69;UAS01;1;Nod;Alt_Ref;Alt
No-70;UAS01;2;Nod;Alt_Ref;Alt
No-71;UAS01;3;Nod;Alt_Ref;Alt
No-72;UAS01;4;Nod;Alt_Ref;Alt
En-73;UCS03;1;ES;Alt_Ref;Alt
En-74;UCS03;2;ES;Alt_Ref;Alt
En-75;UCS03;3;ES;Alt_Ref;Alt
En-76;UCS03;4;ES;Alt_Ref;Alt
Rh-77;UCS03;1;RZ;Alt_Ref;Alt
Rh-78;UCS03;2;RZ;Alt_Ref;Alt
Rh-79;UCS03;3;RZ;Alt_Ref;Alt
Rh-80;UCS03;4;RZ;Alt_Ref;Alt
No-81;UCS03;1;Nod;Alt_Ref;Alt
No-82;UCS03;2;Nod;Alt_Ref;Alt
No-83;UCS03;3;Nod;Alt_Ref;Alt
No-84;UCS03;4;Nod;Alt_Ref;Alt
En-85;UCS01;1;ES;Alt_Ref;Alt
En-86;UCS01;2;ES;Alt_Ref;Alt
En-87;UCS01;3;ES;Alt_Ref;Alt
En-88;UCS01;4;ES;Alt_Ref;Alt
Rh-89;UCS01;1;RZ;Alt_Ref;Alt
Rh-90;UCS01;2;RZ;Alt_Ref;Alt
Rh-91;UCS01;3;RZ;Alt_Ref;Alt
Rh-92;UCS01;4;RZ;Alt_Ref;Alt
No-93;UCS01;1;Nod;Alt_Ref;Alt
No-94;UCS01;2;Nod;Alt_Ref;Alt
No-95;UCS01;3;Nod;Alt_Ref;Alt
No-96;UCS01;4;Nod;Alt_Ref;Alt
En-Gifu1;Gifu;1;ES;Ref_Ref;Ref
En-Gifu2;Gifu;2;ES;Ref_Ref;Ref
En-Gifu3;Gifu;3;ES;Ref_Ref;Ref
En-Gifu4;Gifu;4;ES;Ref_Ref;Ref
No-Gifu1;Gifu;1;Nod;Ref_Ref;Ref
No-Gifu2;Gifu;2;Nod;Ref_Ref;Ref
No-Gifu3;Gifu;3;Nod;Ref_Ref;Ref
No-Gifu4;Gifu;4;Nod;Ref_Ref;Ref
Rh-Gifu1;Gifu;1;RZ;Ref_Ref;Ref
Rh-Gifu2;Gifu;2;RZ;Ref_Ref;Ref
Rh-Gifu3;Gifu;3;RZ;Ref_Ref;Ref
Rh-Gifu4;Gifu;4;RZ;Ref_Ref;Ref
