Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil
En-001;Gifu_1_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-002;Gifu_2_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-003;Gifu_3_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-004;Gifu_4_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-005;Gifu_5_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-006;Gifu_6_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso
En-037;NLEAP0_1_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-038;NLEAP0_2_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-039;NLEAP0_3_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-040;NLEAP0_4_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-041;NLEAP0_5_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-042;NLEAP0_6_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso
En-055;NLEAP1_1_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-056;NLEAP1_2_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-057;NLEAP1_3_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-058;NLEAP1_4_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-059;NLEAP1_5_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-060;NLEAP1_6_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso
En-073;CFI1_1_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-074;CFI1_2_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-075;CFI1_3_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-076;CFI1_4_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-077;CFI1_5_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-078;CFI1_6_Aso_Endosphere;CFI1;CFI;Endosphere;Aso
En-091;CFI2_1_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-092;CFI2_2_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-093;CFI2_3_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-094;CFI2_4_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-095;CFI2_5_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-096;CFI2_6_Aso_Endosphere;CFI2;CFI;Endosphere;Aso
En-109;Gifu_1_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-110;Gifu_2_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-111;Gifu_3_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-112;Gifu_4_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-113;Gifu_5_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-114;Gifu_6_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara
En-145;NLEAP0_1_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-146;NLEAP0_2_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-147;NLEAP0_3_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-148;NLEAP0_4_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-149;NLEAP0_5_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-150;NLEAP0_6_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara
En-163;NLEAP1_1_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara
En-164;NLEAP1_2_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara
