Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil;State;State2;Experiment
En-001;Gifu_1_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-002;Gifu_2_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-003;Gifu_3_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-004;Gifu_4_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-005;Gifu_5_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-006;Gifu_6_Aso_Endosphere;Gifu;Gifu;Endosphere;Aso;Ref_Ref;Ref;LORE1
En-037;NLEAP0_1_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-038;NLEAP0_2_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-039;NLEAP0_3_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-040;NLEAP0_4_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-041;NLEAP0_5_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-042;NLEAP0_6_Aso_Endosphere;roomie1-1;roomie1;Endosphere;Aso;roomie1-1;LORE1;LORE1
En-055;NLEAP1_1_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;LORE1;LORE1
En-056;NLEAP1_2_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;LORE1;LORE1
En-057;NLEAP1_3_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;LORE1;LORE1
En-058;NLEAP1_4_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;LORE1;LORE1
En-059;NLEAP1_5_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;LORE1;LORE1
En-060;NLEAP1_6_Aso_Endosphere;roomie1-2;roomie1;Endosphere;Aso;roomie1-2;No;LORE1
En-073;CFI1_1_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-074;CFI1_2_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-075;CFI1_3_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-076;CFI1_4_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-077;CFI1_5_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-078;CFI1_6_Aso_Endosphere;CFI1;CFI;Endosphere;Aso;No;No;LORE1
En-091;CFI2_1_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-092;CFI2_2_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-093;CFI2_3_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-094;CFI2_4_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-095;CFI2_5_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-096;CFI2_6_Aso_Endosphere;CFI2;CFI;Endosphere;Aso;No;No;LORE1
En-109;Gifu_1_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-110;Gifu_2_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-111;Gifu_3_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-112;Gifu_4_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-113;Gifu_5_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-114;Gifu_6_Utobara_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;LORE1
En-145;NLEAP0_1_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-146;NLEAP0_2_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-147;NLEAP0_3_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-148;NLEAP0_4_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-149;NLEAP0_5_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-150;NLEAP0_6_Utobara_Endosphere;roomie1-1;roomie1;Endosphere;Utobara;roomie1-1;LORE1;LORE1
En-163;NLEAP1_1_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-164;NLEAP1_2_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-165;NLEAP1_3_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-166;NLEAP1_4_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-167;NLEAP1_5_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-168;NLEAP1_6_Utobara_Endosphere;roomie1-2;roomie1;Endosphere;Utobara;roomie1-2;LORE1;LORE1
En-181;CFI1_1_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-182;CFI1_2_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-183;CFI1_3_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-184;CFI1_4_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-185;CFI1_5_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-186;CFI1_6_Utobara_Endosphere;CFI1;CFI;Endosphere;Utobara;No;No;LORE1
En-199;CFI2_1_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
En-200;CFI2_2_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
En-201;CFI2_3_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
En-202;CFI2_4_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
En-203;CFI2_5_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
En-204;CFI2_6_Utobara_Endosphere;CFI2;CFI;Endosphere;Utobara;No;No;LORE1
No-025;Gifu_1_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-026;Gifu_2_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-027;Gifu_3_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-028;Gifu_4_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-029;Gifu_5_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-030;Gifu_6_Aso_Nodule;Gifu;Gifu;Nodule;Aso;Ref_Ref;Ref;LORE1
No-049;NLEAP0_1_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-050;NLEAP0_2_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-051;NLEAP0_3_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-052;NLEAP0_4_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-053;NLEAP0_5_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-054;NLEAP0_6_Aso_Nodule;roomie1-1;roomie1;Nodule;Aso;roomie1-1;LORE1;LORE1
No-067;NLEAP1_1_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-068;NLEAP1_2_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-069;NLEAP1_3_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-070;NLEAP1_4_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-071;NLEAP1_5_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-072;NLEAP1_6_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso;roomie1-2;LORE1;LORE1
No-085;CFI1_1_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-086;CFI1_2_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-087;CFI1_3_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-088;CFI1_4_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-089;CFI1_5_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-090;CFI1_6_Aso_Nodule;CFI1;CFI;Nodule;Aso;No;No;LORE1
No-103;CFI2_1_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-104;CFI2_2_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-105;CFI2_3_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-106;CFI2_4_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-107;CFI2_5_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-108;CFI2_6_Aso_Nodule;CFI2;CFI;Nodule;Aso;No;No;LORE1
No-133;Gifu_1_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-134;Gifu_2_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-135;Gifu_3_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-136;Gifu_4_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-137;Gifu_5_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-138;Gifu_6_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;LORE1
No-157;NLEAP0_1_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-158;NLEAP0_2_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-159;NLEAP0_3_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-160;NLEAP0_4_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-161;NLEAP0_5_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-162;NLEAP0_6_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara;roomie1-1;LORE1;LORE1
No-175;NLEAP1_1_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-176;NLEAP1_2_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-177;NLEAP1_3_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-178;NLEAP1_4_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-179;NLEAP1_5_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-180;NLEAP1_6_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara;roomie1-2;LORE1;LORE1
No-193;CFI1_1_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
